# All the points presented here is averaged over 10 times execution.
qValue,Elapsed Time,Number of Iterations,Metric Value,RelativeError
0.02,5420.4,64.8,-0.656421,2.95376e-05
0.03,5879.3,68.8,-0.655762,-5.54747e-05
0.04,6453.5,70.5,-0.66195,4.07207e-06
0.05,7197.8,76.1,-0.666432,5.83353e-06
0.06,7361.6,76.9,-0.671208,1.19297e-05
0.07,6659.6,69.3,-0.676563,7.03143e-06
0.08,7183.3,74.7,-0.681046,7.41998e-06
0.09,6293.4,65.1,-0.686089,7.40777e-06
0.1,5606.9,58,-0.690669,1.61671e-05
0.11,6632.4,68.3,-0.695133,7.10899e-05
0.12,7507.4,77,-0.699476,1.08747e-05
0.13,7746.1,77.9,-0.704074,2.60072e-05
0.14,7325.8,74,-0.708595,5.21394e-06
0.15,6968.9,72.1,-0.713311,-5.54348e-06
0.16,7327.8,75.5,-0.718019,-8.93791e-06
0.17,7640.4,78.1,-0.722792,-9.49403e-06
0.18,7114.9,72.9,-0.72759,1.01752e-05
0.19,7110.9,71.8,-0.732393,-2.24786e-05
0.2,7524.6,76.3,-0.737334,3.24814e-06
0.21,7748.2,75.8,-0.742256,4.63231e-06
0.22,8045.7,70.7,-0.747249,8.08743e-06
0.23,8856.1,76.5,-0.752295,8.48562e-06
0.24,8944.2,76,-0.757382,6.60259e-06
0.25,7611.6,69.8,-0.762529,-1.89263e-05
0.26,8975,81.9,-0.767728,-3.70567e-05
0.27,8517.8,78.1,-0.772987,1.232e-05
0.28,8634.8,79,-0.778298,-3.45389e-06
0.29,7470.1,69.6,-0.783668,1.16874e-05
0.3,8461.4,77.9,-0.789098,7.61106e-07
0.31,8287.3,77.9,-0.794588,-1.12616e-05
0.32,7576.9,78.4,-0.800139,9.35635e-06
0.33,7701.4,78.3,-0.805752,-5.96981e-05
0.34,8129,73.2,-0.81143,1.65259e-07
0.35,8758.6,79.7,-0.817171,5.35886e-08
0.36,8174.7,79,-0.822979,-7.56616e-06
0.37,8265.4,75,-0.828854,-1.03468e-05
0.38,8155.6,72.6,-0.834798,-8.94476e-06
0.39,7889.3,69.7,-0.840812,2.34701e-06
0.4,7971.7,78.2,-0.846897,-2.71444e-06
0.41,8320.7,80.2,-0.853054,4.46316e-06
0.42,8013.4,77,-0.859286,-8.16412e-09
0.43,8342.6,76.3,-0.865592,9.76806e-06
0.44,8615.9,78,-0.871975,-2.06925e-05
0.45,9280,84.4,-0.878437,-9.47495e-06
0.46,7469.1,71.9,-0.884978,1.27519e-05
0.47,7858.9,77,-0.891601,-3.25282e-06
0.48,7820.2,73,-0.898307,1.02402e-05
0.49,7350.4,72.1,-0.905097,1.0065e-05
0.5,7846.9,74,-0.911973,1.48449e-05
0.51,7494.9,71,-0.918937,2.47892e-05
0.52,7499.2,72,-0.925992,8.27803e-05
0.53,8432.1,80.1,-0.933137,4.37605e-05
0.54,7397,75.6,-0.940375,2.07379e-05
0.55,7620.6,78,-0.94771,2.6136e-05
0.56,7765.9,77,-0.95514,5.1872e-05
0.57,8394.3,77.2,-0.962671,4.81731e-05
0.58,9013.4,83,-0.970302,3.95312e-05
0.59,9144.6,84,-0.978038,3.99797e-05
0.6,7918.9,81,-0.985877,7.5728e-05
0.61,8338.4,86.2,-0.993825,8.23032e-05
0.62,8196.2,84.8,-1.00188,5.3361e-05
0.63,7816.5,81,-1.01005,8.56052e-05
0.64,7664.2,79.5,-1.01834,8.37538e-05
0.65,8072.8,83.6,-1.02674,0.000337938
0.66,7554,77.2,-1.03526,0.00232124
0.67,8969.9,83,-1.0439,0.00030757
0.68,9448.2,84.5,-1.05267,0.000302914
0.69,8335.4,77,-1.06157,0.000683952
0.7,9219,85,-1.07059,7.05698e-05
0.71,9048.4,83.3,-1.07975,0.000274002
0.72,9331.8,85.8,-1.08905,0.000114291
0.73,9190.7,87.2,-1.09848,6.57242e-05
0.74,8346.6,86,-1.10806,6.63115e-05
0.75,8226.1,85,-1.11778,3.11644e-05
0.76,8482.6,84.4,-1.12765,5.25293e-05
0.77,9112.5,84.3,-1.13767,0.000160977
0.78,9066.2,83.8,-1.14784,0.000294487
0.79,8823.6,85,-1.15818,4.66004e-05
0.8,8186.8,78.3,-1.16868,-3.31777e-05
0.81,7658.3,74.7,-1.17934,4.47643e-05
0.82,9398.4,88.4,-1.19018,8.19093e-05
0.83,8654.6,86.3,-1.20119,-2.69446e-05
0.84,8832.2,86.8,-1.21238,0.00014681
0.85,9025,83,-1.22375,5.88795e-05
0.86,8230.2,78.9,-1.23531,5.98483e-05
0.87,8670.9,85.7,-1.24705,0.000123897
0.88,7014.2,70,-1.259,-5.58434e-05
0.89,8190.9,77.9,-1.27114,0.000101988
