# All the points presented here is averaged over 5 times execution.
qValue,Number of Iterations,TotalError,XError,YError
-0.5,84.4,68.3233,19.0824,49.2409
-0.49,83.2,81.643,43.361,38.282
-0.48,82,83.5346,40.8676,42.6671
-0.47,73.6,70.4473,21.0908,49.3564
-0.46,106.2,80.6234,35.1746,45.4487
-0.45,80.6,97.5272,44.7493,52.7779
-0.44,87.8,67.4997,42.8762,24.6235
-0.43,81.4,80.9075,57.15,23.7575
-0.42,82.4,70.8424,24.1022,46.7402
-0.41,72.4,78.3124,36.5408,41.7716
-0.4,83,79.6484,50.4215,29.2269
-0.39,73,81.3209,39.6079,41.7131
-0.38,71.4,79.5557,43.2864,36.2693
-0.37,82.4,87.681,32.558,55.1231
-0.36,69.8,90.4805,50.5354,39.9451
-0.35,74.4,76.6711,37.1907,39.4804
-0.34,77.4,87.1674,57.544,29.6234
-0.33,82.8,93.204,39.7665,53.4374
-0.32,75.8,78.6927,35.0984,43.5943
-0.31,86.4,93.9396,52.382,41.5576
-0.3,71.8,84.0597,48.4778,35.5819
-0.29,78.4,98.6427,49.6451,48.9976
-0.28,76,101.326,59.3833,41.9424
-0.27,71.2,88.479,39.9133,48.5657
-0.26,91.4,94.177,63.5978,30.5792
-0.25,97.6,96.1652,61.8063,34.3589
-0.24,75.4,102.583,61.6058,40.977
-0.23,72.2,99.9376,53.4848,46.4528
-0.22,78,106.851,66.2903,40.5607
-0.21,75.6,95.0426,46.5674,48.4752
-0.2,68.8,99.6185,63.2391,36.3794
-0.19,64.6,95.4289,63.8439,31.585
-0.18,63.8,92.7655,52.7519,40.0136
-0.17,67.8,94.5201,59.9059,34.6141
-0.16,66.6,100.979,57.6188,43.3598
-0.15,66,100.661,61.3989,39.2617
-0.14,67.6,97.4204,56.932,40.4885
-0.13,70.4,95.535,65.6482,29.8867
-0.12,65.6,112.789,62.4856,50.3034
-0.11,58.6,105.972,59.8388,46.1327
-0.1,60.8,91.2871,63.7569,27.5302
