# The performance was carried with qValue = 0.66 . Each point is equal to a 5 performance execution.
Iteration,Relative Error
1,-0.314792
2,-0.389908
3,-0.529903
4,-0.689716
5,-0.57205
6,-0.839045
7,-0.615065
8,-0.926834
9,-0.73133
10,-0.854788
11,-0.871868
12,-0.88988
13,-0.912734
14,-0.915523
15,-0.926171
16,-0.924616
17,-0.929544
18,-0.92764
19,-0.930064
20,-0.928678
21,-0.929778
22,-0.928932
23,-0.929287
24,-0.928904
25,-0.928783
26,-0.92981
27,-0.929396
28,-0.929677
29,-0.929083
30,-0.929773
31,-0.9294
32,-0.928842
33,-0.92912
34,-0.929129
35,-0.929251
36,-0.929018
37,-0.929177
38,-0.929184
39,-0.929218
40,-0.929072
41,-0.929158
42,-0.929238
43,-0.929189
44,-0.929182
45,-0.929174
46,-0.929233
