qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,8.750,7.096
0.02,5.851,4.871
0.03,2.639,2.507
0.04,2.775,2.637
0.05,5.648,4.693
0.06,2.835,2.683
0.07,2.730,2.597
0.08,2.681,2.541
0.09,2.592,2.484
0.11,2.137,2.181
0.12,2.173,2.213
0.13,3.552,3.295
0.14,2.372,2.328
0.15,2.181,2.243
0.16,2.293,2.353
0.17,2.441,2.493
0.18,3.695,3.458
0.19,3.573,3.359
0.1,2.387,2.333
0.21,3.966,3.691
0.22,4.028,3.748
0.23,4.015,3.736
0.24,4.011,3.736
0.25,4.044,3.770
0.26,4.032,3.763
0.27,4.022,3.755
0.28,4.037,3.772
0.29,4.021,3.759
0.2,3.620,3.399
0.31,4.024,3.766
0.32,4.019,3.763
0.33,4.022,3.768
0.34,4.027,3.775
0.35,4.030,3.779
0.36,4.088,3.833
0.37,4.104,3.850
0.38,4.096,3.843
0.39,4.107,3.855
0.3,4.034,3.773
0.41,4.107,3.858
0.42,4.084,3.838
0.43,4.043,3.804
0.44,4.081,3.838
0.45,4.076,3.835
0.46,4.062,3.825
0.47,4.081,3.843
0.48,4.094,3.856
0.49,4.120,3.880
0.4,4.109,3.858
0.51,4.119,3.881
0.52,4.121,3.883
0.53,4.127,3.890
0.54,4.129,3.893
0.55,4.133,3.897
0.56,4.136,3.900
0.57,4.092,3.864
0.58,4.094,3.866
0.59,4.098,3.871
0.5,4.088,3.852
0.61,4.105,3.878
0.62,4.107,3.881
0.63,4.069,3.850
0.64,4.072,3.853
0.65,4.099,3.876
0.66,4.082,3.862
0.67,4.089,3.869
0.68,4.079,3.861
0.69,4.104,3.883
0.6,4.101,3.874
0.71,4.069,3.856
0.72,4.098,3.881
0.73,4.108,3.890
0.74,4.135,3.914
0.75,4.119,3.901
0.76,4.104,3.889
0.77,4.105,3.891
0.78,4.105,3.891
0.79,4.096,3.886
0.7,4.110,3.889
0.81,4.077,3.870
0.82,4.037,3.838
0.83,4.079,3.874
0.84,4.024,3.828
0.85,4.021,3.825
0.86,4.088,3.883
0.87,4.070,3.868
0.88,4.054,3.855
0.89,4.022,3.828
0.8,4.086,3.877
0.91,4.057,3.858
0.92,4.054,3.856
0.93,4.062,3.862
0.94,4.021,3.827
0.95,4.038,3.841
0.96,4.024,3.830
0.97,4.011,3.818
0.98,4.001,3.810
0.99,3.993,3.802
0.9,4.079,3.876
1.01,3.991,3.800
1.02,3.974,3.785
1.03,3.997,3.804
1.04,3.978,3.789
1.05,3.994,3.802
1.06,3.975,3.785
1.07,3.988,3.796
1.08,3.985,3.793
1.09,4.033,3.833
1.11,4.003,3.807
1.12,3.969,3.777
1.13,3.958,3.767
1.14,3.972,3.779
1.15,3.945,3.755
1.16,3.986,3.790
1.17,3.953,3.761
1.18,3.951,3.759
1.19,3.948,3.757
1.1,3.991,3.797
1.21,3.937,3.745
1.22,3.994,3.792
1.23,3.940,3.745
1.24,3.927,3.734
1.25,3.951,3.753
1.26,3.972,3.771
1.27,3.934,3.737
1.28,3.892,3.702
1.29,3.890,3.699
1.2,3.952,3.758
1.31,3.948,3.747
1.32,3.940,3.739
1.33,3.941,3.738
1.34,3.959,3.754
1.35,3.918,3.718
1.36,3.911,3.711
1.37,3.888,3.690
1.38,3.905,3.703
1.39,3.928,3.723
1.3,3.888,3.696
1.41,3.910,3.705
1.42,3.884,3.681
1.43,3.931,3.720
1.44,3.857,3.655
1.45,3.843,3.642
1.46,3.864,3.660
1.47,3.876,3.669
1.48,3.896,3.685
1.49,3.859,3.652
1.4,3.909,3.705
1.5,3.885,3.673
1,3.978,3.789
