qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,10.433,6.085
0.02,10.433,6.085
0.03,10.433,6.085
0.04,10.433,6.085
0.05,10.433,6.085
0.06,10.433,6.085
0.07,10.433,6.085
0.08,10.433,6.085
0.09,10.405,6.110
0.11,10.404,6.109
0.12,10.404,6.109
0.13,10.404,6.108
0.14,10.348,6.139
0.15,10.347,6.138
0.16,10.276,6.150
0.17,10.275,6.148
0.18,10.274,6.146
0.19,10.273,6.144
0.1,10.405,6.110
0.21,10.027,6.147
0.22,9.747,6.058
0.23,9.709,6.095
0.24,9.709,6.079
0.25,9.751,6.155
0.26,9.555,6.106
0.27,8.338,5.865
0.28,8.135,5.786
0.29,8.109,5.755
0.2,10.272,6.142
0.31,8.337,5.859
0.32,8.364,5.874
0.33,8.330,5.850
0.34,8.345,5.869
0.35,8.340,5.870
0.36,8.332,5.869
0.37,8.338,5.865
0.38,8.343,5.866
0.39,7.753,5.642
0.3,8.327,5.862
0.41,7.737,5.627
0.42,7.735,5.622
0.43,7.732,5.617
0.44,7.731,5.613
0.45,7.713,5.601
0.46,7.686,5.585
0.47,7.670,5.572
0.48,7.644,5.554
0.49,7.611,5.532
0.4,7.749,5.636
0.51,7.500,5.457
0.52,7.434,5.418
0.53,6.779,4.942
0.54,6.773,4.936
0.55,6.693,4.870
0.56,6.611,4.802
0.57,6.606,4.796
0.58,6.601,4.789
0.59,6.521,4.722
0.5,7.566,5.501
0.61,6.512,4.710
0.62,6.426,4.636
0.63,6.419,4.627
0.64,6.411,4.617
0.65,6.402,4.607
0.66,6.396,4.599
0.67,6.323,4.534
0.68,6.329,4.536
0.69,6.329,4.533
0.6,6.519,4.718
0.71,6.177,4.397
0.72,6.181,4.397
0.73,6.182,4.396
0.74,6.174,4.386
0.75,6.166,4.377
0.76,6.152,4.363
0.77,6.140,4.350
0.78,6.078,4.295
0.79,6.196,4.393
0.7,6.328,4.529
0.81,6.185,4.380
0.82,6.129,4.331
0.83,6.143,4.341
0.84,6.137,4.334
0.85,6.093,4.294
0.86,6.127,4.322
0.87,6.063,4.264
0.88,6.067,4.267
0.89,6.026,4.230
0.8,6.192,4.388
0.91,5.991,4.195
0.92,5.933,4.138
0.93,5.873,4.084
0.94,5.915,4.117
0.95,5.881,4.085
0.96,5.885,4.086
0.97,5.901,4.097
0.98,5.909,4.101
0.99,5.907,4.098
0.9,5.929,4.142
1.01,5.912,4.099
1.02,5.937,4.117
1.03,5.919,4.101
1.04,5.933,4.111
1.05,5.941,4.115
1.06,5.949,4.120
1.07,5.952,4.121
1.08,5.955,4.121
1.09,5.933,4.101
1.11,5.928,4.092
1.12,5.933,4.094
1.13,5.935,4.093
1.14,5.939,4.095
1.15,5.944,4.096
1.16,5.944,4.095
1.17,5.964,4.111
1.18,5.964,4.109
1.19,5.962,4.105
1.1,5.921,4.088
1.21,5.934,4.075
1.22,5.938,4.078
1.23,5.972,4.108
1.24,5.962,4.096
1.25,5.981,4.114
1.26,5.965,4.096
1.27,5.962,4.092
1.28,5.972,4.099
1.29,5.983,4.108
1.2,5.930,4.073
1.31,6.030,4.150
1.32,5.988,4.109
1.33,5.996,4.115
1.34,5.962,4.078
1.35,6.009,4.123
1.36,5.986,4.096
1.37,5.988,4.099
1.38,5.992,4.102
1.39,6.043,4.153
1.3,5.977,4.100
1.41,6.060,4.168
1.42,6.030,4.136
1.43,6.104,4.209
1.44,6.087,4.194
1.45,6.115,4.218
1.46,6.118,4.220
1.47,6.078,4.181
1.48,6.059,4.161
1.49,6.147,4.244
1.4,6.051,4.159
1.5,6.138,4.236
1,5.933,4.111
