,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement
,0.01,7.572,6.241,0.01,7.831,4.256,0.01,13.203,6.338,0.01,27.852,21.877,0.01,3.041,1.896,0.01,12.146,5.663,0.01,42.066,41.232,0.01,8.750,7.096,0.01,27.439,24.374,0.01,8.613,6.293
,0.02,7.527,6.201,0.02,7.777,4.198,0.02,13.113,6.314,0.02,32.237,27.583,0.02,3.024,2.103,0.02,11.575,5.925,0.02,10.188,4.745,0.02,5.851,4.871,0.02,10.052,4.251,0.02,8.535,6.267
,0.03,7.496,6.172,0.03,7.729,4.140,0.03,13.187,6.325,0.03,19.239,7.057,0.03,2.782,1.900,0.03,11.688,5.988,0.03,9.147,4.429,0.03,2.639,2.507,0.03,11.104,4.274,0.03,8.338,6.205
,0.04,6.725,5.402,0.04,7.709,4.127,0.04,12.582,6.236,0.04,19.129,7.047,0.04,2.878,1.722,0.04,11.535,5.902,0.04,6.154,3.397,0.04,2.775,2.637,0.04,9.523,4.050,0.04,8.150,6.113
,0.05,7.053,5.729,0.05,7.629,4.031,0.05,12.453,6.190,0.05,19.144,7.019,0.05,3.021,2.099,0.05,11.279,5.755,0.05,7.153,3.761,0.05,5.648,4.693,0.05,9.631,4.041,0.05,7.591,5.738
,0.06,6.178,4.875,0.06,7.584,3.992,0.06,13.229,6.335,0.06,19.302,7.301,0.06,2.979,2.095,0.06,11.410,5.820,0.06,7.318,3.801,0.06,2.835,2.683,0.06,8.127,3.371,0.06,7.641,5.767
,0.07,6.240,4.935,0.07,7.397,3.786,0.07,12.617,6.224,0.07,19.120,6.998,0.07,2.955,2.097,0.07,11.376,5.802,0.07,7.065,3.758,0.07,2.730,2.597,0.07,12.999,4.814,0.07,7.665,5.783
,0.08,6.152,4.846,0.08,7.391,3.781,0.08,12.465,6.207,0.08,19.092,6.996,0.08,2.804,1.920,0.08,11.173,5.692,0.08,7.007,3.728,0.08,2.681,2.541,0.08,7.872,3.220,0.08,7.699,5.805
,0.09,5.298,4.285,0.09,7.257,3.652,0.09,12.452,6.198,0.09,19.003,6.954,0.09,2.851,2.079,0.09,11.118,5.665,0.09,6.900,3.675,0.09,2.592,2.484,0.09,9.040,3.790,0.09,7.713,5.811
,0.11,5.422,4.398,0.11,4.147,2.171,0.11,12.345,6.178,0.11,19.153,7.072,0.11,2.976,2.121,0.11,11.030,5.611,0.11,3.171,2.206,0.11,2.137,2.181,0.11,7.517,3.015,0.11,7.787,5.854
