qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,3.041,1.896
0.02,3.024,2.103
0.03,2.782,1.900
0.04,2.878,1.722
0.05,3.021,2.099
0.06,2.979,2.095
0.07,2.955,2.097
0.08,2.804,1.920
0.09,2.851,2.079
0.11,2.976,2.121
0.12,2.880,2.213
0.13,2.845,1.912
0.14,2.902,2.211
0.15,2.761,1.997
0.16,2.712,2.274
0.17,2.755,1.959
0.18,2.709,2.284
0.19,2.735,2.284
0.1,2.964,2.135
0.21,2.635,2.040
0.22,2.714,1.966
0.23,2.710,2.236
0.24,2.558,2.116
0.25,2.580,2.292
0.26,2.547,2.270
0.27,2.615,2.073
0.28,2.289,2.143
0.29,2.211,2.138
0.2,2.543,2.145
0.31,2.465,2.117
0.32,2.495,2.116
0.33,2.337,2.122
0.34,2.275,2.117
0.35,2.302,2.116
0.36,2.214,2.095
0.37,2.094,2.045
0.38,2.121,2.052
0.39,2.117,2.049
0.3,2.445,2.119
0.41,2.038,2.007
0.42,2.048,1.376
0.43,2.091,1.360
0.44,2.103,1.350
0.45,2.112,1.343
0.46,2.136,1.338
0.47,2.157,1.328
0.48,2.155,1.323
0.49,2.159,1.319
0.4,2.114,2.049
0.51,2.190,1.309
0.52,2.205,1.303
0.53,2.210,1.300
0.54,2.216,1.296
0.55,2.216,1.293
0.56,2.256,1.288
0.57,2.242,1.286
0.58,2.253,1.282
0.59,2.267,1.279
0.5,2.175,1.313
0.61,2.330,1.272
0.62,2.306,1.269
0.63,2.316,1.267
0.64,2.333,1.264
0.65,2.317,1.261
0.66,2.304,1.258
0.67,2.321,1.256
0.68,2.348,1.254
0.69,2.313,1.250
0.6,2.278,1.275
0.71,2.316,1.244
0.72,2.302,1.240
0.73,2.287,1.237
0.74,2.281,1.233
0.75,2.289,1.231
0.76,2.281,1.227
0.77,2.283,1.224
0.78,2.276,1.221
0.79,2.269,1.217
0.7,2.317,1.247
0.81,2.256,1.210
0.82,2.256,1.206
0.83,2.257,1.203
0.84,2.248,1.199
0.85,2.246,1.196
0.86,2.241,1.192
0.87,2.245,1.189
0.88,2.241,1.185
0.89,2.235,1.181
0.8,2.267,1.214
0.91,2.236,1.174
0.92,2.235,1.170
0.93,2.222,1.166
0.94,2.222,1.162
0.95,2.221,1.158
0.96,2.222,1.155
0.97,2.212,1.150
0.98,2.220,1.147
0.99,2.214,1.143
0.9,2.230,1.177
1.01,2.219,1.135
1.02,2.219,1.132
1.03,2.214,1.127
1.04,2.208,1.123
1.05,2.212,1.120
1.06,2.214,1.116
1.07,2.205,1.111
1.08,2.202,1.107
1.09,2.210,1.104
1.11,2.203,1.095
1.12,2.203,1.091
1.13,2.205,1.087
1.14,2.197,1.083
1.15,2.205,1.079
1.16,2.198,1.075
1.17,2.203,1.071
1.18,2.199,1.067
1.19,2.204,1.063
1.1,2.203,1.099
1.21,2.198,1.055
1.22,2.190,1.050
1.23,2.199,1.047
1.24,2.258,1.049
1.25,2.190,1.038
1.26,2.246,1.040
1.27,2.241,1.035
1.28,2.243,1.031
1.29,2.238,1.027
1.2,2.192,1.058
1.31,2.238,1.019
1.32,2.224,1.014
1.33,2.224,1.010
1.34,2.215,1.005
1.35,2.212,1.000
1.36,2.211,0.996
1.37,2.223,0.994
1.38,2.207,0.988
1.39,2.202,0.983
1.3,2.230,1.022
1.41,2.197,0.975
1.42,2.200,0.972
1.43,2.218,0.970
1.44,2.200,0.964
1.45,2.200,0.960
1.46,2.197,0.955
1.47,2.199,0.952
1.48,2.195,0.947
1.49,2.194,0.943
1.4,2.202,0.980
1.5,2.195,0.939
1,2.208,1.123
