qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,8.145,6.908,0.01,19.649,18.272,0.01,20.970,16.413,0.01,38.776,35.341,0.01,9.848,8.975,0.01,16.935,10.939,0.01,42.253,41.427,0.01,13.462,11.631,0.01,28.135,25.079,0.01,10.433,6.085
0.02,8.145,6.908,0.02,19.649,18.272,0.02,20.970,16.413,0.02,38.776,35.341,0.02,9.848,8.975,0.02,16.935,10.939,0.02,42.253,41.427,0.02,13.462,11.631,0.02,28.135,25.079,0.02,10.433,6.085
0.03,8.145,6.908,0.03,19.649,18.272,0.03,20.970,16.413,0.03,38.776,35.341,0.03,9.848,8.975,0.03,16.935,10.939,0.03,42.253,41.427,0.03,13.462,11.631,0.03,28.135,25.079,0.03,10.433,6.085
0.04,8.145,6.908,0.04,19.649,18.272,0.04,20.970,16.413,0.04,38.776,35.341,0.04,9.848,8.975,0.04,16.935,10.939,0.04,42.253,41.427,0.04,13.462,11.631,0.04,28.135,25.079,0.04,10.433,6.085
0.05,8.145,6.908,0.05,19.649,18.272,0.05,20.970,16.413,0.05,38.776,35.341,0.05,9.848,8.975,0.05,16.935,10.939,0.05,42.253,41.427,0.05,13.462,11.631,0.05,28.135,25.079,0.05,10.433,6.085
0.06,8.145,6.908,0.06,19.649,18.272,0.06,20.970,16.413,0.06,38.776,35.341,0.06,9.848,8.975,0.06,16.935,10.939,0.06,42.253,41.427,0.06,13.462,11.631,0.06,28.135,25.079,0.06,10.433,6.085
0.07,8.145,6.908,0.07,19.649,18.272,0.07,20.970,16.413,0.07,38.776,35.341,0.07,9.848,8.975,0.07,16.935,10.939,0.07,42.253,41.427,0.07,13.462,11.631,0.07,28.135,25.079,0.07,10.433,6.085
0.08,8.145,6.908,0.08,19.649,18.272,0.08,20.970,16.413,0.08,38.776,35.341,0.08,9.848,8.975,0.08,16.935,10.939,0.08,42.253,41.427,0.08,13.462,11.631,0.08,28.135,25.079,0.08,10.433,6.085
0.09,8.145,6.908,0.09,19.649,18.272,0.09,20.970,16.413,0.09,38.776,35.341,0.09,9.848,8.975,0.09,16.935,10.939,0.09,42.253,41.427,0.09,13.462,11.631,0.09,28.135,25.079,0.09,10.405,6.110
0.11,8.145,6.908,0.11,19.649,18.272,0.11,20.970,16.413,0.11,38.776,35.341,0.11,9.848,8.975,0.11,16.935,10.939,0.11,42.253,41.427,0.11,13.462,11.631,0.11,28.135,25.079,0.11,10.404,6.109
0.12,8.145,6.908,0.12,19.649,18.272,0.12,20.970,16.413,0.12,38.776,35.341,0.12,9.848,8.975,0.12,16.935,10.939,0.12,42.253,41.427,0.12,13.462,11.631,0.12,28.135,25.079,0.12,10.404,6.109
0.13,8.145,6.908,0.13,19.649,18.272,0.13,20.970,16.413,0.13,38.776,35.341,0.13,9.848,8.975,0.13,16.935,10.939,0.13,42.253,41.427,0.13,13.462,11.631,0.13,28.135,25.079,0.13,10.404,6.108
0.14,8.145,6.908,0.14,19.649,18.272,0.14,20.970,16.413,0.14,38.776,35.341,0.14,9.848,8.975,0.14,16.935,10.939,0.14,42.253,41.427,0.14,13.462,11.631,0.14,28.135,25.079,0.14,10.348,6.139
0.15,8.145,6.908,0.15,19.649,18.272,0.15,20.970,16.413,0.15,38.776,35.341,0.15,9.848,8.975,0.15,16.935,10.939,0.15,42.253,41.427,0.15,13.462,11.631,0.15,28.135,25.079,0.15,10.347,6.138
0.16,8.145,6.908,0.16,19.649,18.272,0.16,20.954,16.394,0.16,38.776,35.341,0.16,9.848,8.975,0.16,16.935,10.939,0.16,42.253,41.427,0.16,13.462,11.631,0.16,28.135,25.079,0.16,10.276,6.150
0.17,8.145,6.908,0.17,19.649,18.272,0.17,20.952,16.391,0.17,38.776,35.341,0.17,9.848,8.975,0.17,16.935,10.939,0.17,42.253,41.427,0.17,13.462,11.631,0.17,28.135,25.079,0.17,10.275,6.148
0.18,8.145,6.908,0.18,19.649,18.272,0.18,20.949,16.387,0.18,38.776,35.341,0.18,9.848,8.975,0.18,16.935,10.939,0.18,42.253,41.427,0.18,13.462,11.631,0.18,28.135,25.079,0.18,10.274,6.146
0.19,8.145,6.908,0.19,19.649,18.272,0.19,20.864,16.277,0.19,38.776,35.341,0.19,9.848,8.975,0.19,16.935,10.939,0.19,42.253,41.427,0.19,13.462,11.631,0.19,28.135,25.079,0.19,10.273,6.144
0.1,8.145,6.908,0.1,19.649,18.272,0.1,20.970,16.413,0.1,38.776,35.341,0.1,9.848,8.975,0.1,16.935,10.939,0.1,42.253,41.427,0.1,13.462,11.631,0.1,28.135,25.079,0.1,10.405,6.110
0.21,7.433,6.144,0.21,19.649,18.272,0.21,20.856,16.267,0.21,38.776,35.341,0.21,9.848,8.975,0.21,16.935,10.939,0.21,42.253,41.427,0.21,13.462,11.631,0.21,28.135,25.079,0.21,10.027,6.147
0.22,7.434,6.144,0.22,19.649,18.272,0.22,20.852,16.262,0.22,38.776,35.341,0.22,9.848,8.975,0.22,16.793,10.759,0.22,42.253,41.427,0.22,13.462,11.631,0.22,28.135,25.079,0.22,9.747,6.058
0.23,5.472,4.236,0.23,19.274,17.846,0.23,20.848,16.256,0.23,38.776,35.341,0.23,8.084,7.113,0.23,16.794,10.759,0.23,42.253,41.427,0.23,13.462,11.631,0.23,28.135,25.079,0.23,9.709,6.095
0.24,6.037,4.756,0.24,19.274,17.846,0.24,20.668,16.005,0.24,38.776,35.341,0.24,8.080,7.104,0.24,12.314,5.274,0.24,42.253,41.427,0.24,13.462,11.631,0.24,28.135,25.079,0.24,9.709,6.079
0.25,5.912,4.599,0.25,18.689,17.214,0.25,20.579,15.898,0.25,38.776,35.341,0.25,8.069,7.092,0.25,12.603,5.272,0.25,42.253,41.427,0.25,13.462,11.631,0.25,28.135,25.079,0.25,9.751,6.155
0.26,5.848,4.579,0.26,12.453,9.913,0.26,13.875,6.173,0.26,38.776,35.341,0.26,7.751,6.753,0.26,12.049,5.725,0.26,42.253,41.427,0.26,13.462,11.631,0.26,28.007,24.947,0.26,9.555,6.106
0.27,4.740,3.677,0.27,7.732,4.921,0.27,11.710,4.957,0.27,38.776,35.341,0.27,7.748,6.754,0.27,12.347,5.327,0.27,42.253,41.427,0.27,13.462,11.631,0.27,27.747,24.682,0.27,8.338,5.865
0.28,4.902,3.833,0.28,7.980,5.018,0.28,13.542,5.923,0.28,38.776,35.341,0.28,2.404,1.835,0.28,12.061,5.716,0.28,42.253,41.427,0.28,9.819,7.993,0.28,27.610,24.538,0.28,8.135,5.786
0.29,4.815,3.771,0.29,7.613,4.828,0.29,11.272,4.771,0.29,38.092,34.580,0.29,2.423,1.858,0.29,12.066,5.735,0.29,42.253,41.427,0.29,9.648,7.843,0.29,27.609,24.538,0.29,8.109,5.755
0.2,7.432,6.144,0.2,19.649,18.272,0.2,20.860,16.272,0.2,38.776,35.341,0.2,9.848,8.975,0.2,16.935,10.939,0.2,42.253,41.427,0.2,13.462,11.631,0.2,28.135,25.079,0.2,10.272,6.142
0.31,4.758,3.797,0.31,7.276,4.617,0.31,11.275,4.724,0.31,38.085,34.569,0.31,2.426,1.891,0.31,12.009,5.725,0.31,42.253,41.427,0.31,9.467,7.680,0.31,27.459,24.381,0.31,8.337,5.859
0.32,4.822,3.773,0.32,7.247,4.591,0.32,11.243,4.723,0.32,37.741,34.177,0.32,2.291,1.896,0.32,12.005,5.727,0.32,42.253,41.427,0.32,9.285,7.519,0.32,27.458,24.381,0.32,8.364,5.874
0.33,4.269,3.400,0.33,7.243,4.579,0.33,11.114,4.627,0.33,37.737,34.173,0.33,2.520,1.840,0.33,11.980,5.704,0.33,11.762,5.475,0.33,9.073,7.333,0.33,26.380,23.286,0.33,8.330,5.850
0.34,4.286,3.392,0.34,7.224,4.563,0.34,11.317,4.737,0.34,25.960,19.319,0.34,2.492,1.850,0.34,11.943,5.688,0.34,10.599,4.827,0.34,6.424,5.107,0.34,26.377,23.283,0.34,8.345,5.869
0.35,4.066,3.282,0.35,7.187,4.553,0.35,11.017,4.546,0.35,16.780,5.718,0.35,2.280,1.907,0.35,11.934,5.693,0.35,10.892,4.980,0.35,6.397,5.090,0.35,26.375,23.280,0.35,8.340,5.870
0.36,4.211,3.346,0.36,7.194,4.535,0.36,10.960,4.524,0.36,16.092,5.421,0.36,2.485,1.883,0.36,11.778,5.608,0.36,10.697,4.860,0.36,4.875,3.949,0.36,26.217,23.116,0.36,8.332,5.869
0.37,4.240,3.358,0.37,6.725,4.317,0.37,10.925,4.525,0.37,16.660,5.665,0.37,2.368,1.888,0.37,11.762,5.602,0.37,10.788,4.888,0.37,4.522,3.698,0.37,10.586,3.540,0.37,8.338,5.865
0.38,3.508,2.960,0.38,6.829,4.390,0.38,11.142,4.573,0.38,17.244,5.756,0.38,2.216,1.935,0.38,11.764,5.603,0.38,10.854,4.912,0.38,4.483,3.675,0.38,10.272,3.461,0.38,8.343,5.866
0.39,3.442,2.902,0.39,6.687,4.286,0.39,10.828,4.473,0.39,16.386,5.361,0.39,2.404,1.989,0.39,11.733,5.586,0.39,10.822,4.894,0.39,4.443,3.652,0.39,10.512,3.526,0.39,7.753,5.642
