qValue,WholeFieldAgreement,MaskedFieldAgreement
0.01,19.649,18.272
0.02,19.649,18.272
0.03,19.649,18.272
0.04,19.649,18.272
0.05,19.649,18.272
0.06,19.649,18.272
0.07,19.649,18.272
0.08,19.649,18.272
0.09,19.649,18.272
0.11,19.649,18.272
0.12,19.649,18.272
0.13,19.649,18.272
0.14,19.649,18.272
0.15,19.649,18.272
0.16,19.649,18.272
0.17,19.649,18.272
0.18,19.649,18.272
0.19,19.649,18.272
0.1,19.649,18.272
0.21,19.649,18.272
0.22,19.649,18.272
0.23,19.274,17.846
0.24,19.274,17.846
0.25,18.689,17.214
0.26,12.453,9.913
0.27,7.732,4.921
0.28,7.980,5.018
0.29,7.613,4.828
0.2,19.649,18.272
0.31,7.276,4.617
0.32,7.247,4.591
0.33,7.243,4.579
0.34,7.224,4.563
0.35,7.187,4.553
0.36,7.194,4.535
0.37,6.725,4.317
0.38,6.829,4.390
0.39,6.687,4.286
0.3,7.159,4.607
0.41,6.684,4.273
0.42,6.657,4.248
0.43,6.451,4.130
0.44,6.395,4.094
0.45,6.422,4.083
0.46,6.475,4.102
0.47,6.383,4.056
0.48,6.382,4.046
0.49,6.398,4.045
0.4,6.699,4.290
0.51,6.404,4.032
0.52,6.393,4.019
0.53,6.384,4.005
0.54,6.370,3.990
0.55,6.355,3.974
0.56,6.337,3.957
0.57,6.322,3.941
0.58,6.300,3.923
0.59,6.303,3.919
0.5,6.400,4.038
0.61,6.308,3.913
0.62,6.305,3.906
0.63,6.299,3.899
0.64,5.951,3.708
0.65,5.938,3.697
0.66,5.923,3.685
0.67,5.905,3.672
0.68,5.888,3.660
0.69,5.871,3.648
0.6,6.308,3.917
0.71,5.636,3.548
0.72,5.619,3.537
0.73,5.592,3.523
0.74,5.548,3.502
0.75,5.474,3.470
0.76,5.555,3.497
0.77,5.871,3.644
0.78,5.838,3.628
0.79,5.793,3.608
0.7,5.851,3.636
0.81,5.514,3.486
0.82,5.617,3.526
0.83,4.611,3.104
0.84,5.548,3.494
0.85,5.049,3.300
0.86,5.414,3.450
0.87,5.399,3.449
0.88,5.337,3.430
0.89,4.923,3.266
0.8,5.571,3.511
0.91,4.368,3.022
0.92,4.316,3.002
0.93,4.262,2.981
0.94,4.003,2.861
0.95,4.000,2.865
0.96,3.995,2.870
0.97,3.995,2.876
0.98,3.992,2.882
0.99,3.964,2.874
0.9,4.360,3.014
1.01,3.991,2.904
1.02,4.008,2.920
1.03,3.927,2.906
1.04,3.988,2.933
1.05,3.955,2.929
1.06,3.970,2.948
1.07,3.993,2.970
1.08,4.016,2.994
1.09,4.002,3.002
1.11,3.919,2.994
1.12,3.909,3.006
1.13,3.945,3.038
1.14,3.970,3.066
1.15,3.865,3.035
1.16,3.867,3.053
1.17,3.964,3.118
1.18,3.807,3.064
1.19,3.948,3.149
1.1,3.968,3.001
1.21,3.850,3.144
1.22,3.763,3.124
1.23,3.747,3.137
1.24,3.777,3.173
1.25,3.811,3.210
1.26,3.832,3.242
1.27,3.875,3.284
1.28,3.880,3.307
1.29,3.864,3.320
1.2,3.941,3.165
1.31,3.871,3.364
1.32,3.878,3.388
1.33,3.881,3.408
1.34,3.905,3.441
1.35,3.909,3.462
1.36,3.924,3.488
1.37,5.164,3.982
1.38,3.960,3.545
1.39,4.002,3.588
1.3,3.870,3.343
1.41,4.045,3.649
1.42,4.087,3.691
1.43,4.079,3.702
1.44,4.113,3.739
1.45,4.132,3.767
1.46,4.175,3.808
1.47,4.190,3.831
1.48,4.223,3.867
1.49,4.202,3.867
1.4,4.028,3.622
1.5,4.245,3.908
1,3.988,2.933
